RUC,RAZON_SOCIAL,UBIGEO,DIRECCION,ES_ANEXO,DISTRITO,TIPO_PERSONA
20606918284,MUSUQ MARKET E.I.R.L.,040104,AV. PERU 502 ALTO LIBERTAD P.J.,0,CERRO COLORADO,JURIDICA
20606928174,GRUPO INVERSIONES J & C METAL AQP SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040109,MLC. MALECON ZOLEZZI 377 SAN LORENZO URB.,0,MARIANO MELGAR,JURIDICA
20606934077,DISTRIBUIDORA UNION AQP E.I.R.L.,040117,B 7 3 RES. MONTEBELLO URB.,0,SACHACA,JURIDICA
20606938803,SAFE MARKET EXPRESS E.I.R.L.,040103,CAL. CACIQUE ALPACA 215 CERCADO DE CAYMA URB.,0,CAYMA,JURIDICA
20606942452,CLISANTE SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040126,AV. EMMEL 137 JARDIN URB.,0,YANAHUARA,JURIDICA
20606946059,DISTRIBUIDORA PAME E.I.R.L.,040102,N1 5 AF VILLA CONFRATERNIDAD A.H.,0,ALTO SELVA ALEGRE,JURIDICA
20606968575,GOLD SPORT SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040101,CAL. DEAN VALDIVIA 321 101 CERCADO URB.,0,AREQUIPA (CERCADO),JURIDICA
20606973269,TRANSPORTES MIKI & NACHO HNOS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040104,H2 2 VICTOR ANDRES BELAUNDE URB.,0,CERRO COLORADO,JURIDICA
20606974591,CORPORACION PEREZ SUR AQP13 SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040117,C 8 EL OLIVAR URB.,0,SACHACA,JURIDICA
20606979712,DYNASTY SERVICE SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040107,CAL. JR HONDURAS 505 HUNTER URB.,0,JACOBO HUNTER,JURIDICA
20606981016,CORPORACION DE SERVICIOS MULTICARGA C & C SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040104,B 10 MERCADO MAYORISTA ZONA B P.J.,0,CERRO COLORADO,JURIDICA
20606983647,JUNTA DE PROPIETARIOS DEL CENTRO COMERCIAL EL TREBOL,040101,AV. JORGE CHAVEZ 300 118,0,AREQUIPA (CERCADO),JURIDICA
20606997231,F & E ADJUDICA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040109,CAL. ANCASH 101 SAN LORENZO URB.,0,MARIANO MELGAR,JURIDICA
20606998466,GEOMIN CONSULTING SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040104,20-1 20 LA PLANICIE URB.,0,CERRO COLORADO,JURIDICA
20607017876,BCL GROUP SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040102,---- SECTOR VILLA AREQUIPA B 5 PAMPA DE POLANCO SECC.2 P.J.,0,ALTO SELVA ALEGRE,JURIDICA
